Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
BRILINTA,0186-0776-60,60 mg/1,TABLET,ORAL,NDA022433,AstraZeneca Pharmaceuticals LP,0186-0776,Ticagrelor,TICAGRELOR,HUMAN PRESCRIPTION DRUG,09/04/2015,N/A,NDA,60 TABLET in 1 BOTTLE (0186-0776-60),"Cytochrome P450 3A4 Inhibitors [MoA], Decreased Platelet Aggregation [PE], P-Glycoprotein Inhibitors [MoA], P2Y12 Platelet Inhibitor [EPC], P2Y12 Receptor Antagonists [MoA]",N/A,No,12/31/2027
BRILINTA,0186-0777-39,90 mg/1,TABLET,ORAL,NDA022433,AstraZeneca Pharmaceuticals LP,0186-0777,Ticagrelor,TICAGRELOR,HUMAN PRESCRIPTION DRUG,08/05/2011,N/A,NDA,"10 BLISTER PACK in 1 BOX, UNIT-DOSE (0186-0777-39) / 10 TABLET in 1 BLISTER PACK","Cytochrome P450 3A4 Inhibitors [MoA], Decreased Platelet Aggregation [PE], P-Glycoprotein Inhibitors [MoA], P2Y12 Platelet Inhibitor [EPC], P2Y12 Receptor Antagonists [MoA]",N/A,No,12/31/2027
BRILINTA,0186-0777-60,90 mg/1,TABLET,ORAL,NDA022433,AstraZeneca Pharmaceuticals LP,0186-0777,Ticagrelor,TICAGRELOR,HUMAN PRESCRIPTION DRUG,08/05/2011,N/A,NDA,60 TABLET in 1 BOTTLE (0186-0777-60),"Cytochrome P450 3A4 Inhibitors [MoA], Decreased Platelet Aggregation [PE], P-Glycoprotein Inhibitors [MoA], P2Y12 Platelet Inhibitor [EPC], P2Y12 Receptor Antagonists [MoA]",N/A,No,12/31/2027
BRILINTA,55154-9618-0,90 mg/1,TABLET,ORAL,NDA022433,"Cardinal Health 107, LLC",55154-9618,Ticagrelor,TICAGRELOR,HUMAN PRESCRIPTION DRUG,08/05/2011,N/A,NDA,10 BLISTER PACK in 1 BAG (55154-9618-0) / 1 TABLET in 1 BLISTER PACK,"Cytochrome P450 3A4 Inhibitors [MoA], Decreased Platelet Aggregation [PE], P-Glycoprotein Inhibitors [MoA], P2Y12 Platelet Inhibitor [EPC], P2Y12 Receptor Antagonists [MoA]",N/A,No,12/31/2027
BRILINTA,55154-9618-8,90 mg/1,TABLET,ORAL,NDA022433,"Cardinal Health 107, LLC",55154-9618,Ticagrelor,TICAGRELOR,HUMAN PRESCRIPTION DRUG,08/05/2011,09/30/2027,NDA,"1440 TABLET in 1 BOTTLE, PLASTIC (55154-9618-8)","Cytochrome P450 3A4 Inhibitors [MoA], Decreased Platelet Aggregation [PE], P-Glycoprotein Inhibitors [MoA], P2Y12 Platelet Inhibitor [EPC], P2Y12 Receptor Antagonists [MoA]",N/A,No,12/31/2027
BRILINTA,71610-815-41,90 mg/1,TABLET,ORAL,NDA022433,"Aphena Pharma Solutions - Tennessee, LLC",71610-815,Ticagrelor,TICAGRELOR,HUMAN PRESCRIPTION DRUG,04/03/2024,N/A,NDA,5400 TABLET in 1 BOTTLE (71610-815-41),"Cytochrome P450 3A4 Inhibitors [MoA], Decreased Platelet Aggregation [PE], P-Glycoprotein Inhibitors [MoA], P2Y12 Platelet Inhibitor [EPC], P2Y12 Receptor Antagonists [MoA]",N/A,No,12/31/2026
